index,budget,genres,homepage,id,keywords,original_language,original_title,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,cast,director
11,200000000,Adventure Action Thriller Crime,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,10764,killing undercover secret agent british secret service,en,Quantum of Solace,107.928811,30-10-2008,586090727,106,Released,Quantum of Solace,6.1,2965,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,Marc Forster
12,200000000,Adventure Fantasy Action,http://disney.go.com/disneypictures/pirates/,58,witch fortune teller bondage exotic island monster,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,20-06-2006,1065659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,Gore Verbinski
13,255000000,Action Adventure Western,http://disney.go.com/the-lone-ranger/,57201,texas horse survivor texas ranger partner,en,The Lone Ranger,49.046956,03-07-2013,89289910,149,Released,The Lone Ranger,5.9,2311,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,Gore Verbinski
14,225000000,Action Adventure Fantasy Science Fiction,http://www.manofsteel.com/,49521,saving the world dc comics superhero based on comic book superhuman,en,Man of Steel,99.398009,12-06-2013,662845518,143,Released,Man of Steel,6.5,6359,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,Zack Snyder
15,225000000,Adventure Family Fantasy,,2454,based on novel fictional place brother sister relationship lion human being,en,The Chronicles of Narnia: Prince Caspian,53.978602,15-05-2008,419651413,150,Released,The Chronicles of Narnia: Prince Caspian,6.3,1630,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,Andrew Adamson
16,220000000,Science Fiction Action Adventure,http://marvel.com/avengers_movie/,24428,new york shield marvel comic superhero based on comic book,en,The Avengers,144.448633,25-04-2012,1519557910,143,Released,The Avengers,7.4,11776,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,Joss Whedon
17,380000000,Adventure Action Fantasy,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,1865,sea captain mutiny sword prime minister,en,Pirates of the Caribbean: On Stranger Tides,135.413856,14-05-2011,1045713802,136,Released,Pirates of the Caribbean: On Stranger Tides,6.4,4948,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,Rob Marshall
18,225000000,Action Comedy Science Fiction,http://www.sonypictures.com/movies/meninblack3/,41154,time travel time machine alien fictional government agency seeing the future,en,Men in Black 3,52.035179,23-05-2012,624026776,106,Released,Men in Black 3,6.2,4160,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,Barry Sonnenfeld
19,250000000,Action Adventure Fantasy,http://www.thehobbit.com/,122917,corruption elves dwarves orcs middle-earth (tolkien),en,The Hobbit: The Battle of the Five Armies,120.965743,10-12-2014,956019788,144,Released,The Hobbit: The Battle of the Five Armies,7.1,4760,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
20,215000000,Action Adventure Fantasy,http://www.theamazingspiderman.com,1930,loss of father vigilante serum marvel comic scientific experiment,en,The Amazing Spider-Man,89.866276,27-06-2012,752215857,136,Released,The Amazing Spider-Man,6.5,6586,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,Marc Webb
21,200000000,Action Adventure,http://www.robinhoodthemovie.com/,20662,robin hood archer knight sherwood forest bow and arrow,en,Robin Hood,37.668301,12-05-2010,310669540,140,Released,Robin Hood,6.2,1398,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,Ridley Scott
22,250000000,Adventure Fantasy,http://www.thehobbit.com/,57158,elves dwarves orcs hobbit dragon,en,The Hobbit: The Desolation of Smaug,94.370564,11-12-2013,958400000,161,Released,The Hobbit: The Desolation of Smaug,7.6,4524,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson
23,180000000,Adventure Fantasy,http://www.goldencompassmovie.com/index_german.html,2268,england compass experiment lordship uncle,en,The Golden Compass,42.990906,04-12-2007,372234864,113,Released,The Golden Compass,5.8,1303,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,Chris Weitz
24,207000000,Adventure Drama Action,,254,film business screenplay show business film making film producer,en,King Kong,61.22601,14-12-2005,550000000,187,Released,King Kong,6.6,2337,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,Peter Jackson
25,200000000,Drama Romance Thriller,http://www.titanicmovie.com,597,shipwreck iceberg ship panic titanic,en,Titanic,100.025899,18-11-1997,1845034188,194,Released,Titanic,7.5,7562,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,James Cameron
26,250000000,Adventure Action Science Fiction,http://marvel.com/captainamericapremiere,271110,civil war war marvel comic sequel superhero,en,Captain America: Civil War,198.372395,27-04-2016,1153304495,147,Released,Captain America: Civil War,7.1,7241,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,Anthony Russo
27,209000000,Thriller Action Adventure Science Fiction,,44833,fight u.s. navy mind reading hong kong soccer,en,Battleship,64.928382,11-04-2012,303025485,131,Released,Battleship,5.5,2114,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,Peter Berg
28,150000000,Action Adventure Science Fiction Thriller,http://www.jurassicworld.com/,135397,monster dna tyrannosaurus rex velociraptor island,en,Jurassic World,418.708552,09-06-2015,1513528810,124,Released,Jurassic World,6.5,8662,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,
29,200000000,Action Adventure Thriller,http://www.skyfall-movie.com,37724,spy secret agent sociopath killer art gallery,en,Skyfall,93.004993,25-10-2012,1108561013,143,Released,Skyfall,6.9,7604,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,Sam Mendes
30,200000000,Action Adventure Fantasy,http://www.sonypictures.com/movies/spider-man2/,558,dual identity love of one's life pizza boy marvel comic sequel,en,Spider-Man 2,35.149586,25-06-2004,783766341,127,Released,Spider-Man 2,6.7,4321,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,Sam Raimi
31,200000000,Action Adventure Science Fiction,http://marvel.com/ironman3,68721,terrorist war on terror tennessee malibu marvel comic,en,Iron Man 3,77.68208,18-04-2013,1215439994,130,Released,Iron Man 3,6.8,8806,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,Shane Black
32,200000000,Family Fantasy Adventure,http://disney.go.com/wonderland/,12155,based on novel fictional place queen fantasy alice in wonderland,en,Alice in Wonderland,78.530105,03-03-2010,1025491110,108,Released,Alice in Wonderland,6.4,4645,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,Tim Burton
33,210000000,Adventure Action Science Fiction Thriller,,36668,mutant marvel comic based on comic book superhuman beast,en,X-Men: The Last Stand,3.857526,24-05-2006,459359555,104,Released,X-Men: The Last Stand,6.3,3525,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,Brett Ratner
34,200000000,Animation Family,,62211,monster dormitory games animation best friend,en,Monsters University,89.186492,20-06-2013,743559607,104,Released,Monsters University,7,3528,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,Dan Scanlon
35,150000000,Science Fiction Action Adventure,http://www.transformersmovie.com/,8373,egypt sun chaos symbol artifact,en,Transformers: Revenge of the Fallen,21.939663,19-06-2009,836297228,150,Released,Transformers: Revenge of the Fallen,6,3138,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,Michael Bay
36,210000000,Science Fiction Action Adventure,http://www.transformersmovie.com,91314,sequel alien transformers giant robot robot,en,Transformers: Age of Extinction,116.840296,25-06-2014,1091405097,165,Released,Transformers: Age of Extinction,5.8,3095,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,Michael Bay
37,200000000,Fantasy Adventure Family,http://www.ozthegreatandpowerfulmovie.com,68728,circus witch magic hope illusion,en,Oz: The Great and Powerful,46.985445,07-03-2013,491868548,130,Released,Oz: The Great and Powerful,5.7,3530,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,Sam Raimi
38,200000000,Action Adventure Fantasy,http://www.theamazingspiderman.com,102382,obsession marvel comic sequel based on comic book electrocution,en,The Amazing Spider-Man 2,89.270217,16-04-2014,705717432,142,Released,The Amazing Spider-Man 2,6.5,4179,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,Marc Webb
39,170000000,Adventure Action Science Fiction,http://disney.go.com/tron/,20526,artificial intelligence secret identity computer program dystopia computer,en,TRON: Legacy,73.79505,10-12-2010,400062763,125,Released,TRON: Legacy,6.3,2841,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,Joseph Kosinski
40,200000000,Animation Family Adventure Comedy,http://www.disney.go.com/cars/,49013,car race sequel comedy anthropomorphism best friend,en,Cars 2,49.98659,11-06-2011,559852396,106,Released,Cars 2,5.8,2033,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,John Lasseter
41,200000000,Adventure Action Thriller Science Fiction,http://greenlanternmovie.warnerbros.com/,44912,dc comics transformation superhero alien alien infection,en,Green Lantern,51.872839,16-06-2011,219851172,114,Released,Green Lantern,5.1,2487,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,Martin Campbell
42,200000000,Animation Family Comedy,http://disney.go.com/toystory/,10193,hostage college toy barbie animation,en,Toy Story 3,59.995418,16-06-2010,1066969703,103,Released,Toy Story 3,7.6,4597,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,Lee Unkrich
43,200000000,Action Science Fiction Thriller,https://www.warnerbros.com/terminator-salvation,534,saving the world artificial intelligence prophecy san francisco cyborg,en,Terminator Salvation,71.862892,20-05-2009,371353001,115,Released,Terminator Salvation,5.9,2463,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,McG
44,190000000,Action,http://www.furious7.com/,168259,car race speed revenge suspense car,en,Furious 7,102.322217,01-04-2015,1506249360,137,Released,Furious 7,7.3,4176,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,James Wan
45,200000000,Action Drama Horror Science Fiction Thriller,http://www.worldwarzmovie.com,72190,dystopia apocalypse zombie nuclear weapons multiple perspectives,en,World War Z,81.834855,20-06-2013,531865000,116,Released,World War Z,6.7,5560,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,Marc Forster
46,250000000,Action Adventure Fantasy Science Fiction,http://www.x-menmovies.com/,127585,1970s mutant time travel marvel comic based on comic book,en,X-Men: Days of Future Past,118.078691,15-05-2014,747862775,131,Released,X-Men: Days of Future Past,7.5,6032,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,Bryan Singer
47,190000000,Action Adventure Science Fiction,,54138,spacecraft friendship sequel futuristic space,en,Star Trek Into Darkness,78.291018,05-05-2013,467365246,132,Released,Star Trek Into Darkness,7.4,4418,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,J.J. Abrams
48,195000000,Action Family Fantasy,http://jackthegiantkiller.warnerbros.com,81005,based on fairy tale giant,en,Jack the Giant Slayer,43.349855,27-02-2013,197687603,114,Released,Jack the Giant Slayer,5.5,2598,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,Bryan Singer
49,105000000,Drama Romance,,64682,based on novel infidelity obsession hope 3d,en,The Great Gatsby,61.196071,10-05-2013,351040419,143,Released,The Great Gatsby,7.3,3769,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,Baz Luhrmann
50,150000000,Adventure Fantasy Action Romance,http://disney.go.com/disneypictures/princeofpersia,9543,persia sandstorm brother against brother armageddon regent,en,Prince of Persia: The Sands of Time,62.169881,19-05-2010,335154643,116,Released,Prince of Persia: The Sands of Time,6.2,2317,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,Mike Newell
51,180000000,Action Science Fiction Adventure,http://www.pacificrimmovie.com/,68726,dystopia giant robot giant monster apocalypse imax,en,Pacific Rim,56.523205,11-07-2013,407602906,131,Released,Pacific Rim,6.7,4794,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,Guillermo del Toro
52,195000000,Action Science Fiction Adventure,http://www.transformersmovie.com/,38356,moon spacecraft traitor bodyguard alien planet,en,Transformers: Dark of the Moon,28.529607,28-06-2011,1123746996,154,Released,Transformers: Dark of the Moon,6.1,3299,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,Michael Bay
53,185000000,Adventure Action,http://www.indianajones.com/site/index.html,217,saving the world riddle whip treasure mexico city,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,21-05-2008,786636033,122,Released,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,Steven Spielberg
54,175000000,Adventure Animation Family,http://movies.disney.com/the-good-dinosaur,105864,tyrannosaurus rex friends alternate history dinosaur fear,en,The Good Dinosaur,51.692953,14-11-2015,331926147,93,Released,The Good Dinosaur,6.6,1736,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Peter Sohn
55,185000000,Animation Adventure Comedy Family Action,http://disney.go.com/brave/#/home,62177,scotland rebel bravery kingdom archer,en,Brave,125.114374,21-06-2012,538983207,93,Released,Brave,6.7,4641,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Brenda Chapman
56,185000000,Action Adventure Science Fiction,http://www.startrekmovie.com/,188927,sequel stranded hatred space opera,en,Star Trek Beyond,65.352913,07-07-2016,343471816,122,Released,Star Trek Beyond,6.6,2568,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana,Justin Lin
57,180000000,Animation Family,http://disney.go.com/disneypictures/wall-e/,10681,romantic comedy,en,WALL·E,66.390712,22-06-2008,521311860,98,Released,WALL·E,7.8,6296,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,Andrew Stanton
58,140000000,Action Comedy Crime Thriller,,5174,ambassador,en,Rush Hour 3,22.57178,08-08-2007,258022233,91,Released,Rush Hour 3,6.1,783,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,Brett Ratner
59,200000000,Action Adventure Science Fiction,http://www.sonypictures.com/movies/2012,14161,civilization natural disaster end of the world disaster apocalypse,en,2012,45.274225,10-10-2009,769653595,158,Released,2012,5.6,4903,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,Roland Emmerich
60,200000000,Animation Drama,http://disney.go.com/disneypictures/achristmascarol/?cmp=dcom_VAN_WDSHE_ACC_van_dcomcc__Extl,17979,holiday based on novel victorian england money christmas eve,en,A Christmas Carol,39.744242,04-11-2009,325233863,96,Released,A Christmas Carol,6.6,1095,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,Robert Zemeckis
61,176000003,Science Fiction Fantasy Action Adventure,http://www.jupiterascending.com,76757,jupiter space woman director 3d interspecies romance,en,Jupiter Ascending,85.36908,04-02-2015,183987723,124,Released,Jupiter Ascending,5.2,2768,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Lilly Wachowski
62,180000000,Action Adventure,http://legendoftarzan.com,258489,africa feral child tarzan jungle animal attack,en,The Legend of Tarzan,42.741719,29-06-2016,356743061,109,Released,The Legend of Tarzan,5.5,2430,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,David Yates
63,180000000,Adventure Family Fantasy,,411,saving the world witch based on novel brother sister relationship self sacrifice,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,07-12-2005,748806957,143,Released,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,Andrew Adamson
64,178000000,Science Fiction,http://www.foxmovies.com/movies/x-men-apocalypse,246655,mutant supernatural powers marvel comic superhero based on comic book,en,X-Men: Apocalypse,139.272042,18-05-2016,543934787,144,Released,X-Men: Apocalypse,6.4,4721,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Bryan Singer
65,185000000,Drama Action Crime Thriller,http://thedarkknight.warnerbros.com/dvdsite/,155,dc comics crime fighter secret identity scarecrow sadism,en,The Dark Knight,187.322927,16-07-2008,1004558444,152,Released,The Dark Knight,8.2,12002,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,Christopher Nolan
66,175000000,Animation Comedy Family Adventure,http://disney.go.com/disneypictures/up/,14160,age difference central and south america balloon animation floating in the air,en,Up,92.201962,13-05-2009,735099082,96,Released,Up,7.7,6870,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,Pete Docter
67,175000000,Animation Family Adventure Science Fiction,http://www.monstersvsaliens.com/,15512,alien giant robot duringcreditsstinger,en,Monsters vs Aliens,36.167578,19-03-2009,381509870,94,Released,Monsters vs Aliens,6,1423,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,Conrad Vernon
68,140000000,Action Science Fiction Adventure,http://www.ironmanmovie.com/,1726,middle east arms dealer malibu marvel comic superhero,en,Iron Man,120.725053,30-04-2008,585174222,126,Released,Iron Man,7.4,8776,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Jon Favreau
69,170000000,Adventure Drama Family,http://www.hugomovie.com/,44826,library clock film director key toy,en,Hugo,32.319043,22-11-2011,185770160,126,Released,Hugo,7,2141,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,Martin Scorsese
70,170000000,Action Adventure Comedy Science Fiction Western,,8487,steampunk based on tv series steam locomotive drag,en,Wild Wild West,40.748915,29-06-1999,222104681,106,Released,Wild Wild West,5.1,1020,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,Barry Sonnenfeld
71,145000000,Adventure Action Fantasy,http://www.themummy.com/,1735,,en,The Mummy: Tomb of the Dragon Emperor,60.034162,01-07-2008,401128639,112,Released,The Mummy: Tomb of the Dragon Emperor,5.2,1387,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,Rob Cohen
72,175000000,Action Adventure Crime Fantasy Science Fiction,http://www.suicidesquad.com/,297761,dc comics shared universe anti hero secret mission villain,en,Suicide Squad,90.23792,02-08-2016,745000000,123,Released,Suicide Squad,5.9,7458,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,David Ayer
73,175000000,Fantasy Comedy Family,http://www.evanalmighty.com/,2698,father son relationship daily life married couple support father,en,Evan Almighty,27.082182,09-06-2007,173000000,96,Released,Evan Almighty,5.3,1151,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,Tom Shadyac
74,178000000,Action Science Fiction,http://www.edgeoftomorrowmovie.com/,137113,deja vu time warp restart dystopia war,en,Edge of Tomorrow,79.456485,27-05-2014,370541256,113,Released,Edge of Tomorrow,7.6,4858,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,Doug Liman
75,175000000,Adventure Action,,9804,ocean tattoo mutant water dystopia,en,Waterworld,44.640292,28-07-1995,264218220,135,Released,Waterworld,5.9,992,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Kevin Reynolds
76,175000000,Adventure Action Thriller Science Fiction,http://www.gijoemovie.com/,14869,terrorist secret hostage technology warhead,en,G.I. Joe: The Rise of Cobra,32.852443,04-08-2009,302469017,118,Released,G.I. Joe: The Rise of Cobra,5.6,1962,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Stephen Sommers
77,175000000,Drama Comedy Animation Family,http://movies.disney.com/inside-out,150540,dream cartoon imaginary friend animation family,en,Inside Out,128.655964,09-06-2015,857611174,94,Released,Inside Out,8,6560,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter
78,175000000,Family Adventure Drama Fantasy,http://movies.disney.com/the-jungle-book-2016,278927,based on novel snake wolf elephant tiger,en,The Jungle Book,94.199316,07-04-2016,966550600,106,Released,The Jungle Book,6.7,2892,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,Jon Favreau
79,200000000,Adventure Action Science Fiction,http://www.ironmanmovie.com/,10138,malibu marvel comic superhero based on comic book revenge,en,Iron Man 2,77.300194,28-04-2010,623933331,124,Released,Iron Man 2,6.6,6849,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,Jon Favreau
80,170000000,Adventure Fantasy Drama,http://www.snowwhiteandthehuntsman.com/,58595,queen magic fairy tale immortality forest,en,Snow White and the Huntsman,77.178973,30-05-2012,396600000,127,Released,Snow White and the Huntsman,5.8,3118,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,Rupert Sanders
81,180000000,Fantasy Adventure Action Family Romance,http://movies.disney.com/maleficent,102651,fairy tale villain sleeping beauty dark fantasy based on fairy tale,en,Maleficent,110.620647,28-05-2014,758539785,97,Released,Maleficent,7,4496,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,Robert Stromberg
82,170000000,Science Fiction Action Drama Thriller,http://www.dawnofapes.com/,119450,leader colony post-apocalyptic dystopia forest,en,Dawn of the Planet of the Apes,243.791743,26-06-2014,710644566,130,Released,Dawn of the Planet of the Apes,7.3,4410,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,Matt Reeves
83,27000000,Action Adventure Science Fiction Romance,,79698,,en,The Lovers,2.418535,13-02-2015,0,109,Released,The Lovers,4.8,34,Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu,Roland Joff\u00e9
84,175000000,Drama Action Adventure Fantasy,,64686,japan suicide samurai based on true story samurai sword,en,47 Ronin,41.796339,06-12-2013,150962475,119,Released,47 Ronin,5.9,1326,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka,Carl Rinsch
85,170000000,Action Adventure Science Fiction,http://www.captainamericathewintersoldiermovie.com,100402,washington d.c. future shield marvel comic superhero,en,Captain America: The Winter Soldier,72.225265,20-03-2014,714766572,136,Released,Captain America: The Winter Soldier,7.6,5764,Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan,Anthony Russo
86,165000000,Comedy Adventure Fantasy Animation Family,http://www.shrekforeverafter.com/,10192,ogre 3d,en,Shrek Forever After,44.041186,16-05-2010,752600867,93,Released,Shrek Forever After,6,1959,Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews,Mike Mitchell
87,190000000,Adventure Family Mystery Science Fiction,http://movies.disney.com/tomorrowland,158852,inventor apocalypse destiny imax dreamer,en,Tomorrowland,130.311355,19-05-2015,209154322,130,Released,Tomorrowland,6.2,2846,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Brad Bird
88,165000000,Adventure Family Animation Action Comedy,http://movies.disney.com/big-hero-6,177572,brother brother relationship hero talent revenge best friend,en,Big Hero 6,203.73459,24-10-2014,652105443,102,Released,Big Hero 6,7.8,6135,Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung,Chris Williams
89,165000000,Family Animation Comedy Adventure,http://disney.go.com/wreck-it-ralph,82690,support group product placement bullying racing arcade,en,Wreck-It Ralph,62.341073,01-11-2012,471222889,108,Released,Wreck-It Ralph,7.1,4570,John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk,Rich Moore
90,165000000,Adventure Animation Family Fantasy,,5255,santa claus nerd faith gift bell,en,The Polar Express,47.323228,10-11-2004,305875730,100,Released,The Polar Express,6.4,1474,Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen,Robert Zemeckis
